county,state,fips_code,customers_out
Abbeville,South Carolina,45001,785561.0
Acadia,Louisiana,22001,541365.0
Accomack,Virginia,51001,0.0
Ada,Idaho,16001,882050.0
Adair,Iowa,19001,2620.0
Adair,Kentucky,21001,12696.0
Adair,Missouri,29001,11673.0
Adair,Oklahoma,40001,4981.0
Adams,Colorado,8001,878736.0
Adams,Idaho,16003,149888.0
Adams,Illinois,17001,110144.0
Adams,Indiana,18001,221365.0
Adams,Iowa,19003,58425.0
Adams,Mississippi,28001,349760.0
Adams,North Dakota,38001,6556.0
Adams,Ohio,39001,732550.0
Adams,Pennsylvania,42001,540848.0
Adams,Washington,53001,75465.0
Adams,Wisconsin,55001,196701.0
Addison,Vermont,50001,1171381.0
Aiken,South Carolina,45003,1810413.0
Aitkin,Minnesota,27001,82775.0
Alachua,Florida,12001,13955176.0
Alamance,North Carolina,37001,536835.0
Alameda,California,6001,28.0
Alamosa,Colorado,8003,29863.0
Albany,New York,36001,1768254.0
Albany,Wyoming,56001,65122.0
Albemarle,Virginia,51003,1135108.0
Alcona,Michigan,26001,881352.0
Alexander,Illinois,17003,50256.0
Alexander,North Carolina,37003,1270797.0
Alexandria,Virginia,51510,557389.0
Alfalfa,Oklahoma,40003,4171.0
Alger,Michigan,26003,15933.0
Allamakee,Iowa,19005,236506.0
Allegan,Michigan,26005,1627800.0
Allegany,Maryland,24001,431261.0
Allegany,New York,36003,1331453.0
Alleghany,North Carolina,37005,252513.0
Alleghany,Virginia,51005,109682.0
Allegheny,Pennsylvania,42003,4777785.0
Allen,Indiana,18003,2168675.0
Allen,Kansas,20001,28123.0
Allen,Kentucky,21003,150236.0
Allen,Louisiana,22003,857847.0
Allen,Ohio,39003,487587.0
Allendale,South Carolina,45005,94140.0
Alpena,Michigan,26007,1137.0
Alpine,California,6003,603.0
Amelia,Virginia,51007,389709.0
Amherst,Virginia,51009,296706.0
Amite,Mississippi,28005,677479.0
Anchorage,Alaska,2020,526533.0
Anderson,Kansas,20003,85135.0
Anderson,Kentucky,21005,99538.0
Anderson,South Carolina,45007,4941055.0
Anderson,Tennessee,47001,139532.0
Anderson,Texas,48001,173486.0
Andrew,Missouri,29003,82171.0
Andrews,Texas,48003,8522.0
Androscoggin,Maine,23001,5481926.0
Angelina,Texas,48005,120799.0
Anne Arundel,Maryland,24003,1665567.0
Anoka,Minnesota,27003,431537.0
Anson,North Carolina,37007,386801.0
Antelope,Nebraska,31003,0.0
Antrim,Michigan,26009,438250.0
Apache,Arizona,4001,16078.0
Appanoose,Iowa,19007,287430.0
Appling,Georgia,13001,1885176.0
Appomattox,Virginia,51011,130794.0
Aransas,Texas,48007,13961.0
Arapahoe,Colorado,8005,1657230.0
Archer,Texas,48009,1453.0
Archuleta,Colorado,8007,94850.0
Arenac,Michigan,26011,688121.0
Arkansas,Arkansas,5001,400578.0
Arlington,Virginia,51013,1171598.0
Armstrong,Pennsylvania,42005,826463.0
Armstrong,Texas,48011,3818.0
Aroostook,Maine,23003,856180.0
Ascension,Louisiana,22005,1579545.0
Ashe,North Carolina,37009,154430.0
Ashland,Ohio,39005,273469.0
Ashland,Wisconsin,55003,153679.0
Ashley,Arkansas,5003,404044.0
Ashtabula,Ohio,39007,2354440.0
Asotin,Washington,53003,137927.0
