county,state,fips_code,customers_out
Abbeville,South Carolina,45001,296951.0
Acadia,Louisiana,22001,616045.0
Accomack,Virginia,51001,485470.0
Ada,Idaho,16001,1350704.0
Adair,Iowa,19001,10786.0
Adair,Kentucky,21001,13607.0
Adair,Missouri,29001,71370.0
Adair,Oklahoma,40001,78391.0
Adams,Colorado,8001,1557367.0
Adams,Idaho,16003,104527.0
Adams,Illinois,17001,242764.0
Adams,Indiana,18001,74523.0
Adams,Iowa,19003,58632.0
Adams,Mississippi,28001,4495526.0
Adams,North Dakota,38001,233.0
Adams,Ohio,39001,702973.0
Adams,Pennsylvania,42001,1034697.0
Adams,Washington,53001,86043.0
Adams,Wisconsin,55001,151712.0
Addison,Vermont,50001,334049.0
Aiken,South Carolina,45003,769913.0
Aitkin,Minnesota,27001,265962.0
Alachua,Florida,12001,1047313.0
Alamance,North Carolina,37001,1309702.0
Alameda,California,6001,9704576.0
Alamosa,Colorado,8003,57936.0
Albany,New York,36001,2128837.0
Albany,Wyoming,56001,92893.0
Albemarle,Virginia,51003,1888966.0
Alcona,Michigan,26001,2995755.0
Alcorn,Mississippi,28003,3714.0
Alexander,Illinois,17003,30689.0
Alexander,North Carolina,37003,100386.0
Alexandria,Virginia,51510,802584.0
Alfalfa,Oklahoma,40003,37272.0
Alger,Michigan,26003,60514.0
Allamakee,Iowa,19005,150385.0
Allegan,Michigan,26005,5233838.0
Allegany,Maryland,24001,650893.0
Allegany,New York,36003,404662.0
Alleghany,North Carolina,37005,82597.0
Alleghany,Virginia,51005,283877.0
Allegheny,Pennsylvania,42003,8084371.0
Allen,Indiana,18003,1652160.0
Allen,Kansas,20001,62388.0
Allen,Kentucky,21003,185328.0
Allen,Louisiana,22003,1205877.0
Allen,Ohio,39003,472816.0
Allendale,South Carolina,45005,72061.0
Alpena,Michigan,26007,318139.0
Alpine,California,6003,643357.0
Amador,California,6005,3963937.0
Amelia,Virginia,51007,2408666.0
Amherst,Virginia,51009,1092828.0
Amite,Mississippi,28005,2140908.0
Anchorage,Alaska,2020,1113769.0
Anderson,Kansas,20003,172914.0
Anderson,Kentucky,21005,314952.0
Anderson,South Carolina,45007,1347730.0
Anderson,Tennessee,47001,179224.0
Anderson,Texas,48001,3022925.0
Andrew,Missouri,29003,452156.0
Andrews,Texas,48003,542378.0
Androscoggin,Maine,23001,777448.0
Angelina,Texas,48005,8615742.0
Anne Arundel,Maryland,24003,2655199.0
Anoka,Minnesota,27003,616337.0
Anson,North Carolina,37007,142784.0
Antelope,Nebraska,31003,16646.0
Antrim,Michigan,26009,2728836.0
Apache,Arizona,4001,131405.0
Appanoose,Iowa,19007,273063.0
Appling,Georgia,13001,214830.0
Appomattox,Virginia,51011,924604.0
Aransas,Texas,48007,3129890.0
Arapahoe,Colorado,8005,1938570.0
Archer,Texas,48009,514038.0
Archuleta,Colorado,8007,218247.0
Arecibo,Puerto Rico,72013,18931811.0
Arenac,Michigan,26011,2074917.0
Arkansas,Arkansas,5001,398883.0
Arlington,Virginia,51013,1816453.0
Armstrong,Pennsylvania,42005,758154.0
Armstrong,Texas,48011,18824.0
Aroostook,Maine,23003,710899.0
Ascension,Louisiana,22005,40824508.0
Ashe,North Carolina,37009,120393.0
Ashland,Ohio,39005,484239.0
Ashland,Wisconsin,55003,48115.0
Ashley,Arkansas,5003,244013.0
Ashtabula,Ohio,39007,2318815.0
Asotin,Washington,53003,145870.0
Assumption,Louisiana,22007,6669305.0
Atascosa,Texas,48013,1654060.0
Atchison,Kansas,20005,171856.0
Atchison,Missouri,29005,182461.0
Athens,Ohio,39009,1738892.0
Atkinson,Georgia,13003,152904.0
Atlantic,New Jersey,34001,688526.0
Atoka,Oklahoma,40005,128742.0
Attala,Mississippi,28007,1972272.0
Audrain,Missouri,29007,126269.0
Audubon,Iowa,19009,53710.0
Auglaize,Ohio,39011,78654.0
Augusta,Virginia,51015,509449.0
Aurora,South Dakota,46003,3175.0
Austin,Texas,48015,13877533.0
Autauga,Alabama,1001,1336009.0
Avery,North Carolina,37011,173301.0
Avoyelles,Louisiana,22009,3099520.0
Baca,Colorado,8009,1207.0
Bacon,Georgia,13005,86597.0
Bailey,Texas,48017,8622.0
Baker,Florida,12003,162510.0
Baker,Georgia,13007,130959.0
Baker,Oregon,41001,205102.0
Baldwin,Alabama,1003,960446.0
Baldwin,Georgia,13009,216793.0
Ballard,Kentucky,21007,53090.0
Baltimore,Maryland,24005,4138031.0
Baltimore,Maryland,24510,4357618.0
Bamberg,South Carolina,45009,39933.0
Bandera,Texas,48019,1277352.0
Banks,Georgia,13011,124257.0
Bannock,Idaho,16005,323374.0
Baraga,Michigan,26013,64915.0
Barber,Kansas,20007,2612.0
Barbour,Alabama,1005,190365.0
