county,state,fips_code,customers_out
Abbeville,South Carolina,45001,538984.0
Acadia,Louisiana,22001,600214.0
Accomack,Virginia,51001,354143.0
Ada,Idaho,16001,1076938.0
Adair,Iowa,19001,6274.0
Adair,Kentucky,21001,29169.0
Adair,Missouri,29001,54676.0
Adair,Oklahoma,40001,64975.0
Adams,Colorado,8001,5773838.0
Adams,Idaho,16003,136587.0
Adams,Illinois,17001,182187.0
Adams,Indiana,18001,141640.0
Adams,Iowa,19003,53663.0
Adams,Mississippi,28001,876976.0
Adams,North Dakota,38001,1202.0
Adams,Ohio,39001,436341.0
Adams,Pennsylvania,42001,585928.0
Adams,Washington,53001,47247.0
Adams,Wisconsin,55001,133859.0
Addison,Vermont,50001,235928.0
Aiken,South Carolina,45003,1167508.0
Aitkin,Minnesota,27001,83669.0
Alachua,Florida,12001,1260558.0
Alamance,North Carolina,37001,843353.0
Alameda,California,6001,17693430.0
Alamosa,Colorado,8003,54088.0
Albany,New York,36001,3096359.0
Albany,Wyoming,56001,164417.0
Albemarle,Virginia,51003,2807176.0
Alcona,Michigan,26001,661943.0
Alcorn,Mississippi,28003,4295.0
Alexander,Illinois,17003,55458.0
Alexander,North Carolina,37003,305317.0
Alexandria,Virginia,51510,980669.0
Alfalfa,Oklahoma,40003,32846.0
Alger,Michigan,26003,110872.0
Allamakee,Iowa,19005,99558.0
Allegan,Michigan,26005,3939841.0
Allegany,Maryland,24001,1951143.0
Allegany,New York,36003,538986.0
Alleghany,North Carolina,37005,57135.0
Alleghany,Virginia,51005,430578.0
Allegheny,Pennsylvania,42003,12894790.0
Allen,Indiana,18003,1682044.0
Allen,Kansas,20001,26510.0
Allen,Kentucky,21003,502430.0
Allen,Louisiana,22003,525971.0
Allen,Ohio,39003,1302574.0
Allendale,South Carolina,45005,49306.0
Alpena,Michigan,26007,4568.0
Alpine,California,6003,442781.0
Amador,California,6005,11176412.0
Amelia,Virginia,51007,305497.0
Amherst,Virginia,51009,1153467.0
Amite,Mississippi,28005,877146.0
Anchorage,Alaska,2020,948061.0
Anderson,Kansas,20003,88560.0
Anderson,Kentucky,21005,95203.0
Anderson,South Carolina,45007,1372053.0
Anderson,Tennessee,47001,227616.0
Anderson,Texas,48001,1195658.0
Andrew,Missouri,29003,193574.0
Andrews,Texas,48003,231148.0
Androscoggin,Maine,23001,399535.0
Angelina,Texas,48005,1410703.0
Anne Arundel,Maryland,24003,2018259.0
Anoka,Minnesota,27003,451833.0
Anson,North Carolina,37007,376385.0
Antelope,Nebraska,31003,180.0
Antrim,Michigan,26009,747479.0
Apache,Arizona,4001,77365.0
Appanoose,Iowa,19007,166234.0
Appling,Georgia,13001,313803.0
Appomattox,Virginia,51011,144872.0
Aransas,Texas,48007,370478.0
Arapahoe,Colorado,8005,4428959.0
Archer,Texas,48009,76636.0
Archuleta,Colorado,8007,468786.0
