county,state,fips_code,customers_out
Abbeville,South Carolina,45001,259363
Acadia,Louisiana,22001,864113
Accomack,Virginia,51001,415043
Ada,Idaho,16001,1242236
Adair,Iowa,19001,15929
Adair,Kentucky,21001,39710
Adair,Missouri,29001,87197
Adair,Oklahoma,40001,70554
Adams,Colorado,8001,1638625
Adams,Idaho,16003,9997
Adams,Illinois,17001,322859
Adams,Indiana,18001,124091
Adams,Iowa,19003,28603
Adams,Mississippi,28001,1005109
Adams,North Dakota,38001,20278
Adams,Ohio,39001,647166
Adams,Pennsylvania,42001,908998
Adams,Washington,53001,78202
Adams,Wisconsin,55001,234395
Addison,Vermont,50001,1827779
Aiken,South Carolina,45003,1030227
Aitkin,Minnesota,27001,1000736
Alachua,Florida,12001,2130833
Alamance,North Carolina,37001,3487605
Alameda,California,6001,9613817
Alamosa,Colorado,8003,69634
Albany,New York,36001,1619333
Albany,Wyoming,56001,373877
Albemarle,Virginia,51003,11536722
Alcona,Michigan,26001,2343712
Alcorn,Mississippi,28003,33301
Alexander,Illinois,17003,25743
Alexander,North Carolina,37003,248350
Alexandria,Virginia,51510,1083383
Alfalfa,Oklahoma,40003,26133
Alger,Michigan,26003,118957
Allamakee,Iowa,19005,120848
Allegan,Michigan,26005,4005695
Allegany,Maryland,24001,907000
Allegany,New York,36003,483651
Alleghany,North Carolina,37005,105826
Alleghany,Virginia,51005,418294
Allegheny,Pennsylvania,42003,4354108
Allen,Indiana,18003,7348984
Allen,Kansas,20001,18832
Allen,Kentucky,21003,310470
Allen,Louisiana,22003,712115
Allen,Ohio,39003,758521
Allendale,South Carolina,45005,89474
Alpena,Michigan,26007,193972
Alpine,California,6003,28540
Amador,California,6005,3459185
Amelia,Virginia,51007,542302
Amherst,Virginia,51009,2830756
Amite,Mississippi,28005,424686
Anchorage,Alaska,2020,2291335
Anderson,Kansas,20003,58401
Anderson,Kentucky,21005,168615
Anderson,South Carolina,45007,2390582
Anderson,Tennessee,47001,638923
Anderson,Texas,48001,1170400
Andrew,Missouri,29003,101080
Andrews,Texas,48003,139117
Androscoggin,Maine,23001,4633882
Angelina,Texas,48005,1127117
Anne Arundel,Maryland,24003,4282775
Anoka,Minnesota,27003,1040914
Anson,North Carolina,37007,799229
Antelope,Nebraska,31003,15827
Antrim,Michigan,26009,1197195
Apache,Arizona,4001,49324
Appanoose,Iowa,19007,88481
Appling,Georgia,13001,318888
Appomattox,Virginia,51011,499696
Aransas,Texas,48007,473493
Arapahoe,Colorado,8005,3774102
Archer,Texas,48009,73360
Archuleta,Colorado,8007,112199
Arecibo,Puerto Rico,72013,177359153
Arenac,Michigan,26011,1241965
Arkansas,Arkansas,5001,808765
Arlington,Virginia,51013,1406557
Armstrong,Pennsylvania,42005,662610
Armstrong,Texas,48011,50096
Aroostook,Maine,23003,1971319
Ascension,Louisiana,22005,1674240
Ashe,North Carolina,37009,165935
Ashland,Ohio,39005,2681178
Ashland,Wisconsin,55003,143439
Ashley,Arkansas,5003,474585
Ashtabula,Ohio,39007,1793480
Asotin,Washington,53003,182228
Assumption,Louisiana,22007,356064
Atascosa,Texas,48013,275603
Atchison,Kansas,20005,54511
Atchison,Missouri,29005,41546
Athens,Ohio,39009,2240163
Atkinson,Georgia,13003,146552
Atlantic,New Jersey,34001,687103
Atoka,Oklahoma,40005,198610
Attala,Mississippi,28007,697479
Audrain,Missouri,29007,82304
Audubon,Iowa,19009,41221
